,万得全A
,881001.WI
日期,收盘价
Date,close
2011-10-10,2298.0452
2011-10-11,2296.5129
2011-10-12,2367.7161
2011-10-13,2389.1013
2011-10-14,2380.6648
2011-10-17,2390.9915
2011-10-18,2330.9607
2011-10-19,2323.7573
2011-10-20,2274.0742
2011-10-21,2254.5029
2011-10-24,2304.9321
2011-10-25,2348.1189
2011-10-26,2367.5459
2011-10-27,2373.8008
2011-10-28,2414.7888
2011-10-31,2411.9854
2011-11-01,2413.5364
2011-11-02,2449.4392
2011-11-03,2456.4675
2011-11-04,2475.6462
2011-11-07,2458.5745
2011-11-08,2449.9902
2011-11-09,2474.2378
2011-11-10,2432.4189
2011-11-11,2432.9102
2011-11-14,2483.5703
2011-11-15,2484.8682
2011-11-16,2422.9226
2011-11-17,2419.5859
2011-11-18,2369.6692
2011-11-21,2369.4299
2011-11-22,2367.1885
2011-11-23,2350.8801
2011-11-24,2353.9717
2011-11-25,2337.7026
2011-11-28,2340.6096
2011-11-29,2370.5764
2011-11-30,2290.1743
2011-12-01,2341.9871
2011-12-02,2312.4482
2011-12-05,2275.5403
2011-12-06,2271.2117
2011-12-07,2277.9377
2011-12-08,2275.4111
2011-12-09,2259.1169
2011-12-12,2234.6802
2011-12-13,2188.4912
2011-12-14,2166.0227
2011-12-15,2118.4556
2011-12-16,2164.1895
2011-12-19,2160.3008
2011-12-20,2157.2908
2011-12-21,2127.0840
2011-12-22,2119.5210
2011-12-23,2137.8196
2011-12-26,2121.7813
2011-12-27,2091.3022
2011-12-28,2092.5945
2011-12-29,2096.7156
2011-12-30,2123.8530
2012-01-04,2089.2793
2012-01-05,2057.3379
2012-01-06,2070.9780
2012-01-09,2134.6294
2012-01-10,2198.0198
2012-01-11,2190.5801
2012-01-12,2189.1150
2012-01-13,2151.4587
2012-01-16,2107.7009
2012-01-17,2199.6736
