date,pre_close,open,high,low,close,volume,amt,adjfactor
2018/6/19,4085.3034,4025.1744,4031.141,3841.5494,3882.9806,44375234009,4.73E+11,1
2018/6/20,3882.9806,3860.2436,3926.9592,3837.4084,3910.804,31383007118,3.48E+11,1
2018/6/21,3910.804,3907.3033,3945.8079,3843.6782,3845.9319,32729176013,3.56E+11,1
2018/6/22,3845.9319,3820.1746,3883.71,3795.3321,3882.4092,27830784736,2.99E+11,1
2018/6/25,3882.4092,3904.7913,3912.6983,3844.8817,3846.6151,27161433964,3.08E+11,1
2018/6/26,3846.6151,3802.2326,3854.1098,3783.9097,3846.6861,28895754479,3.26E+11,1
2018/6/27,3846.6861,3843.7397,3858.1863,3778.0204,3794.4735,28809631683,3.26E+11,1
2018/6/28,3794.4735,3777.7835,3811.9228,3749.9421,3755.1617,27182871976,3.06E+11,1
2018/6/29,3755.1617,3762.5697,3860.6805,3756.8593,3860.3372,30679479233,3.43E+11,1
2018/7/2,3860.3372,3855.2426,3863.8298,3750.6178,3778.0198,31804325516,3.57E+11,1
2018/7/3,3778.0198,3778.9959,3803.151,3703.2823,3802.338,33573528726,3.94E+11,1
2018/7/4,3802.338,3788.0527,3800.5461,3735.2563,3744.8972,29443375152,3.30E+11,1
2018/7/5,3744.8972,3741.2063,3766.6685,3680.7935,3685.2029,29266249237,3.15E+11,1
2018/7/6,3685.2029,3687.9033,3744.367,3627.8591,3706.1205,32233275826,3.56E+11,1
2018/7/9,3706.1205,3716.2093,3798.2734,3716.2093,3798.1284,28320938316,3.26E+11,1
2018/7/10,3798.1284,3803.9667,3818.8311,3784.9433,3817.6416,28065176665,3.26E+11,1
2018/7/11,3817.6416,3753.0252,3769.6317,3703.7834,3744.9268,30558701837,3.41E+11,1
2018/7/12,3744.9268,3743.2658,3849.4461,3743.2658,3836.9795,35808374139,4.16E+11,1
2018/7/13,3836.9795,3843.2318,3858.9271,3832.9741,3853.3783,30445260808,3.66E+11,1
2018/7/16,3853.3783,3850.5858,3865.0621,3826.5385,3842.6481,27486570149,3.25E+11,1
2018/7/17,3842.6481,3838.6113,3838.6113,3796.1149,3834.3343,26518218184,3.09E+11,1
2018/7/18,3834.3343,3839.3338,3859.5791,3813.0768,3813.5347,29597848922,3.37E+11,1
2018/7/19,3813.5347,3818.3091,3838.5192,3780.7278,3792.2334,27588155520,3.11E+11,1
2018/7/20,3792.2334,3788.2389,3862.0587,3763.0253,3851.2965,31552749625,3.48E+11,1
2018/7/23,3851.2965,3829.9102,3883.2941,3821.2919,3883.1899,37277940868,4.11E+11,1
2018/7/24,3883.1899,3885.8971,3953.4342,3885.8971,3945.4412,47364651532,4.93E+11,1
2018/7/25,3945.4412,3950.3166,3958.2765,3934.8269,3945.9419,38055332697,3.97E+11,1
2018/7/26,3945.9419,3948.4284,3958.1696,3907.5749,3916.2287,39717575400,3.80E+11,1
2018/7/27,3916.2287,3913.5682,3923.9759,3888.9032,3898.2481,33495089435,3.11E+11,1
2018/7/30,3898.2481,3894.8579,3913.8828,3846.9556,3869.4643,32960361125,3.26E+11,1
2018/7/31,3869.4643,3864.4826,3882.6641,3850.2529,3872.0117,26660163182,2.73E+11,1
2018/8/1,3872.0117,3881.9281,3899.0151,3802.9384,3803.2568,32235380550,3.28E+11,1
2018/8/2,3803.2568,3789.3974,3789.3974,3652.1938,3718.2967,38467947999,3.79E+11,1
2018/8/3,3718.2967,3711.6828,3726.132,3665.3598,3665.3598,27949675324,2.85E+11,1
2018/8/6,3665.3598,3657.8899,3684.8151,3586.4396,3605.5606,28825304421,2.91E+11,1
2018/8/7,3605.5606,3614.3156,3704.8283,3589.8416,3704.8186,32111467298,3.16E+11,1
2018/8/8,3704.8186,3696.9876,3704.3844,3645.1881,3647.8478,31892648940,3.05E+11,1
2018/8/9,3647.8478,3634.2629,3747.8583,3628.9245,3733.9886,35113225371,3.47E+11,1
2018/8/10,3733.9886,3732.9049,3760.6398,3720.7149,3749.0849,28087563190,2.88E+11,1
2018/8/13,3749.0849,3709.6461,3752.6752,3685.5433,3748.4225,28802732910,3.00E+11,1
2018/8/14,3748.4225,3742.4037,3751.3621,3718.9655,3734.0611,26136383592,2.68E+11,1
2018/8/15,3734.0611,3732.6512,3733.0636,3650.7436,3653.8096,27909448837,2.78E+11,1
2018/8/16,3653.8096,3610.5377,3667.9281,3584.1021,3626.4409,27680127617,2.70E+11,1
2018/8/17,3626.4409,3653.903,3664.1593,3563.3201,3569.4824,26482239350,2.65E+11,1
2018/8/20,3569.4824,3570.5598,3598.0728,3530.2536,3598.0727,26023291391,2.65E+11,1
2018/8/21,3598.0727,3599.3787,3654.5633,3593.7251,3650.4035,26175152125,2.81E+11,1
2018/8/22,3650.4035,3647.2108,3647.2108,3614.1271,3620.1858,22686630136,2.29E+11,1
2018/8/23,3620.1858,3619.6457,3654.0328,3603.8438,3638.2843,23827926054,2.52E+11,1
2018/8/24,3638.2843,3629.6234,3665.4532,3615.4565,3638.9517,24074639379,2.39E+11,1
2018/8/27,3638.9517,3648.2196,3720.6679,3648.2196,3720.6677,31075551450,3.23E+11,1
2018/8/28,3720.6677,3722.3862,3732.1853,3706.3987,3720.017,28089391839,2.91E+11,1
2018/8/29,3720.017,3714.3905,3717.7515,3691.6799,3701.5104,25412220824,2.46E+11,1
2018/8/30,3701.5104,3699.1961,3712.7328,3651.3692,3653.3684,26307078623,2.53E+11,1
2018/8/31,3653.3684,3638.6875,3655.0809,3610.1181,3625.9119,24830374151,2.48E+11,1
2018/9/3,3625.9119,3615.4333,3621.6859,3575.7115,3619.7099,24716675321,2.43E+11,1
2018/9/4,3619.7099,3619.3739,3668.5921,3609.7427,3662.6577,27012828181,2.68E+11,1
2018/9/5,3662.6577,3650.6303,3658.0289,3599.9832,3599.9832,27107677139,2.59E+11,1
2018/9/6,3599.9832,3589.633,3619.7649,3563.3043,3575.1071,24322042397,2.49E+11,1
2018/9/7,3575.1071,3582.3264,3629.1114,3562.0277,3586.9309,26761717046,2.72E+11,1
2018/9/10,3586.9309,3582.3859,3586.4992,3526.8395,3528.7268,25868757004,2.48E+11,1
2018/9/11,3528.7268,3527.0297,3548.0338,3507.8098,3526.2641,23550698269,2.21E+11,1
2018/9/12,3526.2641,3521.6662,3538.4425,3503.8966,3513.4459,21785993290,2.18E+11,1
2018/9/13,3513.4459,3545.799,3559.4139,3496.8383,3544.9272,26312337721,2.61E+11,1
2018/9/14,3544.9272,3548.8465,3554.6116,3524.7021,3529.8022,25979573942,2.51E+11,1
2018/9/17,3529.8022,3512.49,3512.49,3475.7869,3482.8986,22994474160,2.07E+11,1
2018/9/18,3482.8986,3471.9206,3547.9702,3471.9206,3547.9233,27600560054,2.53E+11,1
2018/9/19,3547.9233,3540.6996,3615.2372,3535.6455,3591.1678,34170676036,3.20E+11,1
2018/9/20,3591.1678,3590.8603,3608.7661,3579.9583,3586.3417,28896079337,2.50E+11,1
2018/9/21,3586.3417,3595.4409,3665.4923,3580.3611,3665.0561,35517795752,3.21E+11,1
2018/9/25,3665.0561,3635.8501,3657.2686,3628.6391,3643.1047,26171839809,2.42E+11,1
2018/9/26,3643.1047,3648.9127,3698.0587,3642.7748,3672.5872,32213972864,3.10E+11,1
2018/9/27,3672.5872,3670.66,3675.8469,3637.8347,3639.5767,31339293269,2.84E+11,1
2018/9/28,3639.5767,3644.5293,3675.0266,3638.3638,3674.7587,28935787836,2.63E+11,1
2018/10/8,3674.7587,3604.4395,3609.2798,3530.2084,3535.0847,31358486834,2.89E+11,1
2018/10/9,3535.0847,3537.351,3560.8239,3521.4253,3535.7813,25112123819,2.32E+11,1
2018/10/10,3535.7813,3540.6057,3560.482,3505.3592,3533.9827,25243424881,2.36E+11,1
2018/10/11,3533.9827,3424.9784,3445.6643,3301.3727,3325.895,43027585092,3.57E+11,1
2018/10/12,3325.895,3310.7165,3356.468,3243.5481,3341.8073,37851294758,3.07E+11,1
2018/10/15,3341.8073,3345.7774,3363.4082,3289.0598,3294.1467,27498336666,2.37E+11,1
2018/10/16,3294.1467,3293.883,3325.1125,3231.7713,3246.2767,27659138169,2.36E+11,1
2018/10/17,3246.2767,3284.734,3297.3993,3203.4254,3268.2958,30077083697,2.58E+11,1
2018/10/18,3268.2958,3246.5366,3246.5366,3177.3681,3179.5353,28684500111,2.35E+11,1
2018/10/19,3179.5353,3141.6273,3266.2402,3132.8323,3263.7825,33108973642,2.84E+11,1
2018/10/22,3263.7825,3291.4933,3440.6362,3291.4933,3412.7501,46854149473,4.20E+11,1
2018/10/23,3412.7501,3414.2799,3422.8725,3320.9562,3340.4615,39851845756,3.54E+11,1
2018/10/24,3340.4615,3325.5773,3391.3613,3316.4976,3343.1078,34212478727,2.94E+11,1
2018/10/25,3343.1078,3253.0861,3342.8771,3241.2258,3339.0147,35272009946,2.90E+11,1
2018/10/26,3339.0147,3353.8628,3374.9953,3313.6157,3331.2439,34270525434,2.81E+11,1
2018/10/29,3331.2439,3318.0115,3318.0115,3240.4105,3255.2104,28898274784,2.55E+11,1
2018/10/30,3255.2104,3243.4327,3319.0104,3218.3132,3290.5602,35484944483,3.10E+11,1
2018/10/31,3290.5602,3296.4242,3355.5436,3291.0112,3338.8365,37437604604,3.14E+11,1
2018/11/1,3338.8365,3365.379,3404.6153,3356.1,3359.2869,43591565584,3.82E+11,1
2018/11/2,3359.2869,3425.9068,3468.1867,3404.4994,3468.1867,49064988208,4.48E+11,1
2018/11/5,3468.1867,3454.8366,3479.1996,3421.6696,3462.2941,45118569808,3.91E+11,1
2018/11/6,3462.2941,3452.806,3452.806,3414.1773,3450.4874,37230793430,3.12E+11,1
