,收盘价
,close
日期,中证800
Date,000906.SH
2012-03-02,2868.5340
2012-03-05,2855.3660
2012-03-06,2814.7300
2012-03-07,2794.9800
2012-03-08,2832.4380
2012-03-09,2865.9190
2012-03-12,2862.2170
2012-03-13,2890.9850
2012-03-14,2796.9750
2012-03-15,2772.7590
2012-03-16,2821.5720
2012-03-19,2834.8350
2012-03-20,2782.5420
2012-03-21,2787.8050
2012-03-22,2781.2540
2012-03-23,2742.9480
2012-03-26,2744.2500
2012-03-27,2735.0600
2012-03-28,2646.4590
2012-03-29,2608.8510
2012-03-30,2616.7080
2012-04-05,2684.7970
2012-04-06,2694.6280
2012-04-09,2667.0600
2012-04-10,2694.5970
2012-04-11,2697.1110
2012-04-12,2751.5370
2012-04-13,2766.0630
2012-04-16,2762.8360
2012-04-17,2726.8500
2012-04-18,2789.0170
2012-04-19,2784.1750
2012-04-20,2814.9050
2012-04-23,2789.7850
2012-04-24,2784.1530
2012-04-25,2810.9720
2012-04-26,2811.8930
2012-04-27,2801.0040
2012-05-02,2857.2400
2012-05-03,2866.6160
2012-05-04,2890.7730
2012-05-07,2897.2490
2012-05-08,2890.0590
2012-05-09,2836.1400
2012-05-10,2838.4410
2012-05-11,2819.1340
2012-05-14,2800.8980
2012-05-15,2801.5980
2012-05-16,2758.6440
2012-05-17,2800.3760
2012-05-18,2757.2730
2012-05-21,2767.5350
2012-05-22,2810.7510
2012-05-23,2801.7570
