,万得全A,,,,,,,,,,
,881001.WI,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-11-27,3396.4741,3396.4741,3403.9744,3342.1362,3343.5522,4670456400.0000,79887128000.0000,-52.9219,-1.5581,1.000000,1.0323
2007-11-28,3343.5522,3343.5522,3376.0215,3289.4944,3307.9307,4738912400.0000,77775544000.0000,-35.6215,-1.0654,1.000000,1.0463
2007-11-29,3307.9307,3307.9307,3428.9707,3298.4521,3425.2043,7139708000.0000,117136520000.0000,117.2736,3.5452,1.000000,1.5768
2007-11-30,3425.2043,3425.2043,3427.3145,3351.4563,3359.5952,6108876800.0000,99282808000.0000,-65.6091,-1.9155,1.000000,1.3558
2007-12-03,3359.5952,3359.5952,3408.7192,3332.1548,3387.4402,4995764800.0000,79794368000.0000,27.8450,0.8288,1.000000,1.5162
2007-12-04,3387.4402,3387.4402,3450.0442,3387.4402,3418.7214,5881239600.0000,85970392000.0000,31.2812,0.9234,1.000000,1.2837
2007-12-05,3418.7214,3418.7214,3505.8032,3409.7432,3504.5640,7550736000.0000,114973096000.0000,85.8426,2.5110,1.000000,1.6618
2007-12-06,3504.5640,3504.5640,3525.3708,3481.7502,3511.4290,6181842000.0000,94562112000.0000,6.8650,0.1959,1.000000,1.3475
2007-12-07,3511.4290,3511.4290,3563.8840,3511.4290,3563.8667,7190003200.0000,105917320000.0000,52.4377,1.4933,1.000000,1.5718
2007-12-10,3563.8667,3563.8667,3641.1218,3501.7471,3639.5730,10093641600.0000,160828144000.0000,75.7063,2.1243,1.000000,2.2007
2007-12-11,3639.5730,3639.5730,3666.6687,3607.5964,3654.2751,9879780000.0000,158869280000.0000,14.7021,0.4040,1.000000,2.1529
2007-12-12,3654.2751,3654.2751,3659.9695,3598.2783,3628.3059,9358920000.0000,155125456000.0000,-25.9692,-0.7107,1.000000,2.2449
2007-12-13,3628.3059,3628.3059,3628.3059,3501.6587,3502.9712,9794968800.0000,158204112000.0000,-125.3347,-3.4544,1.000000,2.1317
2007-12-14,3502.9712,3502.9712,3571.3113,3447.3809,3570.6567,7854039200.0000,123254560000.0000,67.6855,1.9322,1.000000,1.7092
2007-12-17,3570.6567,3570.6567,3574.1687,3511.6079,3512.1592,9388283200.0000,153192000000.0000,-58.4975,-1.6383,1.000000,2.0378
2007-12-18,3512.1592,3512.1592,3530.4548,3473.9053,3491.5034,5969159200.0000,96381616000.0000,-20.6558,-0.5881,1.000000,1.3036
2007-12-19,3491.5034,3491.5034,3579.8318,3491.5034,3571.4500,7913844000.0000,124100344000.0000,79.9466,2.2897,1.000000,1.7580
2007-12-20,3571.4500,3571.4500,3635.9238,3567.7004,3629.8254,8280932800.0000,129842992000.0000,58.3754,1.6345,1.000000,1.7820
2007-12-21,3629.8254,3629.8254,3679.4717,3613.8496,3678.5232,9514597600.0000,152392368000.0000,48.6978,1.3416,1.000000,2.0674
2007-12-24,3678.5232,3678.5232,3773.5027,3678.5232,3749.9006,12348199200.0000,207967664000.0000,71.3774,1.9404,1.000000,2.6551
2007-12-25,3749.9006,3749.9006,3775.7195,3731.8381,3763.8784,10047436800.0000,165555680000.0000,13.9778,0.3728,1.000000,2.2130
2007-12-26,3763.8784,3763.8784,3812.2876,3758.8157,3812.0542,10949504000.0000,183740016000.0000,48.1758,1.2800,1.000000,2.3363
2007-12-27,3812.0542,3812.0542,3877.4614,3812.0542,3874.9688,12897228800.0000,223271552000.0000,62.9146,1.6504,1.000000,2.7569
2007-12-28,3874.9688,3874.9688,3889.5286,3848.4600,3858.7986,11210435200.0000,195930032000.0000,-16.1702,-0.4173,1.000000,2.3801
2008-01-02,3858.7986,3858.7986,3929.4224,3834.9702,3919.5815,11398797600.0000,201071568000.0000,60.7829,1.5752,1.000000,2.4124
2008-01-03,3919.5815,3919.5813,3962.5596,3897.1172,3962.2092,14772569600.0000,259477008000.0000,42.6277,1.0876,1.000000,3.1162
2008-01-04,3962.2092,3962.2092,4004.6008,3953.5042,3996.6794,12168844000.0000,225242784000.0000,34.4702,0.8700,1.000000,2.5628
2008-01-07,3996.6794,3996.6794,4061.9773,3977.7537,4054.1118,13723137600.0000,249293984000.0000,57.4324,1.4370,1.000000,2.8805
2008-01-08,4054.1118,4054.1118,4084.9304,3978.0508,4008.6497,15258457600.0000,280599936000.0000,-45.4621,-1.1214,1.000000,3.2109
2008-01-09,4008.6497,4008.6497,4085.4663,3983.9414,4085.1641,11572832000.0000,212214544000.0000,76.5144,1.9087,1.000000,2.4283
2008-01-10,4085.1641,4085.1641,4146.2153,4085.1575,4119.8052,14430945600.0000,266381248000.0000,34.6411,0.8480,1.000000,3.0298
2008-01-11,4119.8052,4119.8052,4135.3652,4082.4019,4132.4399,12691631200.0000,230088704000.0000,12.6347,0.3067,1.000000,2.6753
2008-01-14,4132.4399,4132.4399,4178.2466,4123.9141,4165.5830,11748600000.0000,214855264000.0000,33.1431,0.8020,1.000000,2.4880
2008-01-15,4165.5830,4165.5830,4189.7632,4123.7031,4160.5225,12545546400.0000,234963232000.0000,-5.0605,-0.1215,1.000000,2.6234
2008-01-16,4160.5225,4160.5225,4160.5225,4040.8074,4050.7422,13708310400.0000,249325520000.0000,-109.7803,-2.6386,1.000000,2.8763
2008-01-17,4050.7422,4050.7422,4076.9980,3844.8721,3952.1436,14948377600.0000,267805216000.0000,-98.5986,-2.4341,1.000000,3.1329
2008-01-18,3952.1436,3952.1436,3989.3538,3909.8586,3987.5918,10617968000.0000,185130576000.0000,35.4482,0.8969,1.000000,2.2224
2008-01-21,3987.5918,3987.5918,4002.6387,3786.4548,3802.3901,11626471200.0000,202301536000.0000,-185.2017,-4.6445,1.000000,2.4227
2008-01-22,3802.3901,3802.3901,3802.3901,3481.4661,3508.2954,13717801600.0000,234236448000.0000,-294.0947,-7.7345,1.000000,2.8633
2008-01-23,3508.2954,3508.2954,3670.7708,3493.9536,3670.3450,13194367200.0000,216937312000.0000,162.0496,4.6190,1.000000,2.7534
2008-01-24,3670.3450,3670.3450,3764.8369,3650.1880,3731.3491,13493510400.0000,228315168000.0000,61.0041,1.6621,1.000000,2.8245
2008-01-25,3731.3491,3731.3491,3789.5437,3698.4666,3760.3601,11796341600.0000,202269328000.0000,29.0110,0.7775,1.000000,2.4556
2008-01-28,3760.3601,3760.3601,3760.3601,3489.8789,3504.6350,10493096000.0000,168344752000.0000,-255.7251,-6.8005,1.000000,2.1866
2008-01-29,3504.6350,3504.6350,3588.5618,3477.6580,3537.8093,7417677600.0000,119476944000.0000,33.1743,0.9466,1.000000,1.5485
2008-01-30,3537.8093,3537.8093,3610.7544,3436.4849,3516.3533,8196848800.0000,139355904000.0000,-21.4560,-0.6065,1.000000,1.7098
2008-01-31,3516.3533,3516.3533,3531.6208,3427.8906,3430.9375,6724576000.0000,114879224000.0000,-85.4158,-2.4291,1.000000,1.3974
2008-02-01,3430.9375,3430.9375,3452.3328,3248.3335,3357.7458,8036539200.0000,127273568000.0000,-73.1917,-2.1333,1.000000,1.7893
2008-02-04,3357.7458,3357.7458,3629.2954,3357.7458,3629.1541,8944661600.0000,157370768000.0000,271.4083,8.0831,1.000000,1.8472
