,收盘价
,close
日期,中证500
Date,000905.SH
2011-04-01,5065.0760
2011-04-06,5057.8400
2011-04-07,5089.7510
2011-04-08,5148.7990
2011-04-11,5107.1370
2011-04-12,5114.4590
2011-04-13,5165.2070
2011-04-14,5150.8690
2011-04-15,5162.4150
2011-04-18,5178.8940
2011-04-19,5116.1440
2011-04-20,5152.3950
2011-04-21,5188.1110
2011-04-22,5165.1230
2011-04-25,5054.7680
2011-04-26,4970.5720
2011-04-27,4913.4970
2011-04-28,4755.4160
2011-04-29,4836.8660
2011-05-03,4920.5700
2011-05-04,4814.7810
2011-05-05,4827.2120
2011-05-06,4849.9690
2011-05-09,4889.9200
2011-05-10,4918.6740
2011-05-11,4929.4880
2011-05-12,4863.7950
2011-05-13,4902.5640
2011-05-16,4900.7060
2011-05-17,4873.9540
2011-05-18,4906.1890
2011-05-19,4879.8920
2011-05-20,4863.1850
2011-05-23,4679.5270
2011-05-24,4672.0760
2011-05-25,4618.7480
2011-05-26,4572.9420
2011-05-27,4428.8940
2011-05-30,4345.0480
2011-05-31,4444.2760
2011-06-01,4490.8920
2011-06-02,4429.9990
2011-06-03,4506.1960
2011-06-07,4547.3030
2011-06-08,4562.9720
2011-06-09,4456.7300
2011-06-10,4469.0490
2011-06-13,4468.7870
2011-06-14,4540.9390
2011-06-15,4499.6940
2011-06-16,4402.1430
2011-06-17,4337.3670
2011-06-20,4278.7530
2011-06-21,4338.4220
2011-06-22,4321.2190
2011-06-23,4402.9380
2011-06-24,4509.1800
2011-06-27,4568.1890
2011-06-28,4574.4770
2011-06-29,4511.5450
2011-06-30,4579.3320
2011-07-01,4604.7460
2011-07-04,4719.3910
2011-07-05,4749.4240
2011-07-06,4760.9170
2011-07-07,4761.4520
2011-07-08,4756.6140
2011-07-11,4799.4200
2011-07-12,4731.1180
2011-07-13,4825.4190
2011-07-14,4866.1650
2011-07-15,4896.0430
2011-07-18,4895.2600
2011-07-19,4843.7050
2011-07-20,4849.0570
2011-07-21,4784.3880
2011-07-22,4800.9380
2011-07-25,4613.7300
2011-07-26,4633.3720
2011-07-27,4710.3790
2011-07-28,4680.8980
2011-07-29,4628.3200
2011-08-01,4644.4620
2011-08-02,4610.7830
2011-08-03,4625.1730
2011-08-04,4649.4250
2011-08-05,4559.0180
2011-08-08,4330.7710
2011-08-09,4317.1070
2011-08-10,4378.6980
2011-08-11,4454.3940
2011-08-12,4505.8860
2011-08-15,4571.7190
2011-08-16,4533.3210
2011-08-17,4513.4850
2011-08-18,4436.1010
2011-08-19,4395.0190
2011-08-22,4363.9590
2011-08-23,4434.9220
2011-08-24,4427.9780
2011-08-25,4520.1710
2011-08-26,4530.4230
2011-08-29,4490.1580
2011-08-30,4451.7260
2011-08-31,4430.5380
2011-09-01,4395.0690
2011-09-02,4344.9770
2011-09-05,4238.0690
2011-09-06,4204.9080
2011-09-07,4306.3610
2011-09-08,4260.1550
2011-09-09,4233.7480
2011-09-13,4164.2880
2011-09-14,4212.1290
2011-09-15,4215.5000
2011-09-16,4214.8160
2011-09-19,4131.8850
2011-09-20,4151.8510
2011-09-21,4275.0940
2011-09-22,4151.8000
2011-09-23,4117.7350
2011-09-26,4051.4250
2011-09-27,4068.2310
2011-09-28,3999.7820
2011-09-29,3871.0600
2011-09-30,3856.8280
2011-10-10,3832.5770
2011-10-11,3817.9270
2011-10-12,3950.6550
2011-10-13,4001.8530
2011-10-14,3985.1930
2011-10-17,3997.1210
2011-10-18,3877.0240
2011-10-19,3854.1690
2011-10-20,3740.4690
2011-10-21,3671.6950
2011-10-24,3736.7650
2011-10-25,3842.9780
2011-10-26,3884.3900
2011-10-27,3888.9920
2011-10-28,3978.8000
2011-10-31,3999.3620
2011-11-01,3999.8310
2011-11-02,4072.7810
2011-11-03,4097.6180
2011-11-04,4131.1300
2011-11-07,4114.7670
2011-11-08,4057.5550
2011-11-09,4126.0030
2011-11-10,4064.3710
2011-11-11,4062.1440
2011-11-14,4159.5670
2011-11-15,4192.6650
2011-11-16,4088.3230
2011-11-17,4079.5360
2011-11-18,3963.2580
2011-11-21,3966.6360
2011-11-22,3957.9300
2011-11-23,3942.6950
2011-11-24,3935.2730
2011-11-25,3911.3560
2011-11-28,3915.2980
2011-11-29,3980.6180
2011-11-30,3819.9420
2011-12-01,3897.0190
2011-12-02,3817.0410
2011-12-05,3692.2270
2011-12-06,3691.8040
2011-12-07,3702.1030
2011-12-08,3700.0890
2011-12-09,3663.8430
2011-12-12,3616.0870
2011-12-13,3490.4000
2011-12-14,3423.4740
2011-12-15,3329.5750
2011-12-16,3427.2140
2011-12-19,3434.8450
2011-12-20,3424.4480
2011-12-21,3342.4010
2011-12-22,3298.7240
2011-12-23,3327.3940
2011-12-26,3308.0720
2011-12-27,3224.1480
2011-12-28,3207.3990
2011-12-29,3207.1810
2011-12-30,3266.7750
2012-01-04,3192.2340
2012-01-05,3074.3680
2012-01-06,3087.5460
2012-01-09,3212.9040
2012-01-10,3345.3910
2012-01-11,3346.7420
2012-01-12,3345.8120
2012-01-13,3233.7010
2012-01-16,3130.5580
2012-01-17,3304.8800
2012-01-18,3237.8520
2012-01-19,3270.7650
2012-01-20,3315.6030
2012-01-30,3292.4090
2012-01-31,3294.4940
2012-02-01,3266.2340
2012-02-02,3328.1530
2012-02-03,3383.0500
2012-02-06,3412.4050
2012-02-07,3356.8380
2012-02-08,3445.5200
2012-02-09,3469.8460
2012-02-10,3488.2290
2012-02-13,3519.8750
2012-02-14,3524.6250
2012-02-15,3578.1490
2012-02-16,3577.2020
2012-02-17,3565.3060
2012-02-20,3574.4580
2012-02-21,3618.3020
2012-02-22,3689.0040
2012-02-23,3700.8880
2012-02-24,3756.8250
2012-02-27,3764.3260
2012-02-28,3745.5800
2012-02-29,3696.1440
2012-03-01,3715.6730
2012-03-02,3794.4160
2012-03-05,3798.3770
2012-03-06,3760.5850
2012-03-07,3732.7070
2012-03-08,3791.8270
2012-03-09,3848.1080
2012-03-12,3871.1200
2012-03-13,3910.0640
2012-03-14,3734.3170
2012-03-15,3689.0140
2012-03-16,3786.6170
2012-03-19,3829.6960
2012-03-20,3746.2840
2012-03-21,3760.0470
2012-03-22,3742.3880
2012-03-23,3670.1290
2012-03-26,3666.2790
2012-03-27,3652.8760
2012-03-28,3490.0070
2012-03-29,3425.7020
2012-03-30,3416.8560
2012-04-05,3531.5490
2012-04-06,3554.0270
2012-04-09,3512.9140
2012-04-10,3554.0380
2012-04-11,3566.4760
2012-04-12,3640.4070
2012-04-13,3675.0280
2012-04-16,3685.4810
2012-04-17,3631.5560
2012-04-18,3714.0200
2012-04-19,3704.7050
2012-04-20,3736.3650
2012-04-23,3691.5740
2012-04-24,3666.3950
2012-04-25,3718.9110
2012-04-26,3700.0280
2012-04-27,3664.6380
2012-05-02,3718.2590
2012-05-03,3733.8160
2012-05-04,3758.0040
2012-05-07,3784.5560
2012-05-08,3783.4720
2012-05-09,3717.4700
2012-05-10,3731.1310
2012-05-11,3715.3850
2012-05-14,3710.0970
2012-05-15,3705.8830
2012-05-16,3660.3120
2012-05-17,3714.1860
2012-05-18,3655.8580
2012-05-21,3653.5460
2012-05-22,3711.0550
2012-05-23,3708.9190
